Name,Price,Condition,Image,Product ID
Pre-owned Hermès Birkin 35 Celeste Candy Epsom Palladium Hardware,"$ 15,000.00",Excellent,//madisonavenuecouture.com/cdn/shop/files/H-B-230403-1-01_1024x1024.jpg?v=1683140548,a25892d8-9af3-4447-b0d9-adf328f6edd5
Pre-owned Hermès Birkin 35 Kiwi Candy Epsom Palladium Hardware,"$ 18,500.00",,//madisonavenuecouture.com/cdn/shop/products/H-B-080222-2-01_1024x1024.jpg?v=1663173901,57a529a4-c252-4215-b6cf-cb26e48852dc
Pre-owned Hermès Birkin 35 Kiwi Swift Palladium Hardware,"$ 14,500.00",Excellent,//madisonavenuecouture.com/cdn/shop/files/H-B-231723-1-01_1024x1024.jpg?v=1683047433,bb35d8b1-edb6-490a-bfb7-a4cde1463fea
