Discription,Product Price,Discount Price,Condition,Color,Image url
BIRKIN 30 LEATHER HANDBAG,"$16,999",,Never worn,"Pink, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/pink-leather-birkin-30-hermes-handbag-36482058-1_3.jpg"
BIRKIN 30 LEATHER HANDBAG,"$18,599",,Never worn,"Blue, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/blue-leather-birkin-30-hermes-handbag-36480554-1_4.jpg"
BIRKIN 30 LEATHER HANDBAG,"$18,000",,Very good condition,"Other, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/other-leather-birkin-30-hermes-handbag-36559011-1_3.jpg"
BIRKIN 30 LEATHER HANDBAG,"$15,500","$20,000",Never worn,"Orange, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/orange-leather-birkin-30-hermes-handbag-34165300-1_3.jpg"
BIRKIN 30 LEATHER HANDBAG,"$14,010",,Very good condition,"Grey, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/grey-leather-birkin-30-hermes-handbag-36437781-1_3.jpg"
BIRKIN 30 LEATHER HANDBAG,"$19,300",,Very good condition,"Green, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/green-leather-birkin-30-hermes-handbag-36564083-1_2.jpg"
BIRKIN 30 LEATHER HANDBAG,"$19,800",,Never worn,"Other, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/other-leather-birkin-30-hermes-handbag-36437361-1_3.jpg"
