Discription,Product Price,Discount Price,Condition,Color,Image url
BIRKIN 35 LEATHER BAG,"$9,998","$12,989",Good condition,"Black, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/black-leather-birkin-35-hermes-handbag-33019733-1_4.jpg"
BIRKIN 35 LEATHER HANDBAG,"$12,000","$17,000",Very good condition,"White, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/white-leather-birkin-35-hermes-handbag-35284563-1_3.jpg"
BIRKIN 35 LEATHER HANDBAG,"$10,400",,Very good condition,"Grey, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/grey-leather-birkin-35-hermes-handbag-36220635-1_2.jpg"
BIRKIN 35 LEATHER HANDBAG,"$12,000","$12,500",Very good condition,"White, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/white-leather-birkin-35-hermes-handbag-36218878-1_3.jpg"
BIRKIN 35 LEATHER HANDBAG,"$10,500",,Very good condition,"Red, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/red-leather-birkin-35-hermes-handbag-35302573-1_3.jpg"
BIRKIN 35 LEATHER HANDBAG,"$11,500","$14,800",Very good condition,"Black, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/black-leather-birkin-35-hermes-handbag-35157478-1_3.jpg"
BIRKIN 35 LEATHER HANDBAG,"$13,000",,Good condition,"Other, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/other-leather-birkin-35-hermes-handbag-36563501-1_1.jpg"
