Discription,Product Price,Discount Price,Condition,Color,Image url
BIRKIN 35 LEATHER BAG,"$9,998","$12,989",Good condition,"Black, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/black-leather-birkin-35-hermes-handbag-33019733-1_4.jpg"
BIRKIN 30 LEATHER BAG,"$18,900","$21,998",Very good condition,"Grey, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/grey-leather-birkin-30-hermes-handbag-33131813-1_3.jpg"
BIRKIN 25 LEATHER BAG,"$27,360",,Never worn,"Gold, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/gold-leather-birkin-25-hermes-handbag-35956424-1_3.jpg"
BIRKIN 35 LEATHER BAG,"$14,472",,Very good condition,"Beige, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/beige-leather-birkin-35-hermes-handbag-36416445-1_2.jpg"
BIRKIN 35 LEATHER BAG,"$19,513.08","$19,525.14",Good condition,"Black, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/black-leather-birkin-35-hermes-handbag-36406174-1_2.jpg"
BIRKIN 35 LEATHER BAG,"$17,722.17","$17,734.23",Good condition,"Orange, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/orange-leather-birkin-35-hermes-handbag-36406346-1_2.jpg"
BIRKIN 30 LEATHER HANDBAG,"$16,999",,Never worn,"Pink, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/pink-leather-birkin-30-hermes-handbag-36482058-1_3.jpg"
