Discription,Product Price,Discount Price,Condition,Color,Image url
BIRKIN 25 LEATHER HANDBAG,"$14,500",,Very good condition,"Purple, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/purple-leather-birkin-25-hermes-handbag-36302043-1_6.jpg"
BIRKIN 25 LEATHER HANDBAG,"$17,250",,Very good condition,"Grey, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/grey-leather-birkin-25-hermes-handbag-36487364-1_4.jpg"
BIRKIN 25 LEATHER HANDBAG,"$19,990","$22,800",Never worn,"Red, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/red-leather-birkin-25-hermes-handbag-35432777-1_3.jpg"
BIRKIN 25 LEATHER HANDBAG,"$23,000","$25,500",Never worn,"Grey, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/grey-leather-birkin-25-hermes-handbag-33711225-2_5.jpg"
BIRKIN 25 LEATHER HANDBAG,"$25,700",,Very good condition,"Blue, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/blue-leather-birkin-25-hermes-handbag-36564115-1_2.jpg"
BIRKIN 25 LEATHER SATCHEL,"$21,275",,Very good condition,"Blue, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/blue-leather-birkin-25-hermes-handbag-35565129-1_2.jpg"
BIRKIN 25 LEATHER HANDBAG,"$28,900","$29,900",Never worn,"Black, Leather","https://images.vestiairecollective.com/cdn-cgi/image/w=1246,q=75,f=auto,/produit/black-leather-birkin-25-hermes-handbag-35158241-1_3.jpg"
